name,address,city,state,country,visited,date_visited,notes
Roy de France,701 S Miami Ave #335B,Miami,FL,US,Y,2024-10-17,"The Birthday Cake macaron ice cream was sweeter and less savory than expected. The price of $4.50 was fair, however, and I would return again. This is where R and I met."
Metro Diner,2714 W Osceola Pkwy,Kissimmee,FL,US,Y,2024-11-02,"The service was friendly and welcoming, the prices were a bargain and the food was amongst the most delicious I've ever had."
Black Market Bayside,401 Biscayne Blvd Unit 225-N,Miami,FL,US,Y,2024-10-17,The service was attentive to our needs. The food was filling and the view of the bayside was remarkable.
Venetian Causeway Park,918-930 Venetian Causeway,Miami Beach,FL,US,Y,2024-10-17,We came at nighttime when we were able to enjoy the view of the city from a quiet and peaceful location.
citizenM Miami Worldcenter Hotel Night Swim Rooftop Bar,"700 NE 2nd Ave,11th Floor",Miami,FL,US,Y,2024-10-25,The garlic parmesan tequenos we ordered were hot and fresh. We got to enjoy pop music remixes while watching downtown from the sky.
La Latina,3509 NE 2nd Ave,Miami,FL,US,Y,2024-10-25,"The food came out fast, hot and fresh. We also had their lime cucumber water. She didnt eat much of the arepa."
Rinconcito Cubano,70 NW 107th Ave,Miami,FL,US,Y,2024-10-26,"This was the best restaurant we visited to date because of its service, delicious food and price."
Beach View Park,5301-5313 Collins Ave,Miami Beach,FL,US,Y,2024-10-27,"The park is nice, has bathrooms and is a good place to relax. However, we came for the boardwalk, which we enjoyed walking half a mile north and back. We got to learn about clouds and cactuses."
Citibike,Collins Ave & 5300 Block,Miami Beach,FL,US,Y,2024-10-27,"This was the first time I saw R try to ride a regular bike. She mentioned it was too big for her, but we gave it a shot anyway. We confirmed her claim."
Topgolf Miami - Doral,11850 NW 22nd St,Doral,FL,US,Y,2024-10-29,Topgolf Miami - Doral has improved in terms of appearance and food quality over the last couple of years. They also added a larger driver to their arsenal of clubs.
Rosen Shingle Creek,9939 Universal Blvd,Orlando,FL,US,Y,2024-11-02,The rooms offered a spectacular view of the golf course. We got to see people playing golf. The room service was professional and the hotel spacious and luxurious. It was also well-priced at $100/night!
Super Target,2155 Town Center Blvd,Orlando,FL,US,Y,2024-11-02,This place doubles as a Wal-Mart for its size. Miami's real estate is always in-demand so no Super Targets exist there. It was nice to witness their expanded selection of products.
CVS,13454 S Orange Blossom Trl,Orlando,FL,US,Y,2024-11-02,"This CVS eclipses any found in Miami with regards to quality, organization and cleanliness. We also learned what Orange Blossoms were."
Waffle House,9406 S Orange Blossom Trl,Orlando,FL,US,Y,2024-11-03,This was my first time visiting a Waffle House since I was in college over a decade ago. The sweet waffles and the syrup along with the eggs and bacon brought back cherishable memories that I was able to share with R.
Apna Bazaar,9404 S Orange Blossom Trl,Orlando,FL,US,Y,2024-11-03,This was the first Indian supermarket R and I visited together. She was excited about the selection of products. She bought me a bottle of camel's milk and a bottle of mango lassi.
Lake Eola,512 E Washington St,Orlando,FL,US,Y,2024-11-03,"Lake Eola had swan bikes we were unable to rent because of the windy weather. We were still able to enjoy the picturesque nature, take selfies over the lake deck and observe the birds and turtles."
Alien Treats,101 S Eola Dr #105,Orlando,FL,US,Y,2024-11-03,This was a new dessert bar that just opened up a few months ago. We had forgotten our purchase of candy there as we left it while enjoying their delicious ice cream milkshake. They refunded us and made sure we were attended to. It was the best customer service I had ever received from anywhere. I felt welcome.
